"#AUTHID","STATUS","sEXT","sNEU","sAGR","sCON","sOPN","cEXT","cNEU","cAGR","cCON","cOPN","DATE","NETWORKSIZE","BETWEENNESS","NBETWEENNESS","DENSITY","BROKERAGE","NBROKERAGE","TRANSITIVITY"
"cf5a3f66c42918587a1428a6f7d7eec9","""hello, customers!  if you're watching this, then you may or may not be a candidate for laser eyeball surgeries!  how do you do??   my name is ping pong von laserstein ~ today, we're going to talk about your eyes...""",2.60,3.90,4.20,2.05,4.70,"n","y","y","n","y",01/22/10 10:12 AM,126,7710.5,99.49,0.02,7729,0.5,0.01
"7e0954e34b5af347696eb260230bccda","Any GOS student who comes to me complaining about how 'early' the next school year starts are gonna get a 'nice little lecture' from me...�_�",2.90,2.45,3.85,3.10,3.90,"n","n","y","n","y",07/11/09 09:28 AM,414,84404.8,99.21,0.01,84584,0.5,0.04
"7e0954e34b5af347696eb260230bccda","Got a painful reminder of why I REALLY dislike my little sister...and why I have to keep my room locked at all times...",2.90,2.45,3.85,3.10,3.90,"n","n","y","n","y",07/13/09 06:18 PM,414,84404.8,99.21,0.01,84584,0.5,0.04
"603f11575493fd2df5d15faa9c96cec8","so much hw T_T",2.38,3.25,3.38,3.25,3.38,"n","y","n","n","n",07/02/09 11:34 AM,82,2956.54,91.25,0.09,3036,0.47,0.38
"603f11575493fd2df5d15faa9c96cec8","Hello Taipei",2.38,3.25,3.38,3.25,3.38,"n","y","n","n","n",07/29/09 12:40 PM,82,2956.54,91.25,0.09,3036,0.47,0.38
"603f11575493fd2df5d15faa9c96cec8","in Taiwan for 8 hours",2.38,3.25,3.38,3.25,3.38,"n","y","n","n","n",06/26/09 09:53 PM,82,2956.54,91.25,0.09,3036,0.47,0.38
"603f11575493fd2df5d15faa9c96cec8","Taiwan is even hotter than Japan~",2.38,3.25,3.38,3.25,3.38,"n","y","n","n","n",07/30/09 12:18 PM,82,2956.54,91.25,0.09,3036,0.47,0.38
"603f11575493fd2df5d15faa9c96cec8","time for more school..in Japan!!",2.38,3.25,3.38,3.25,3.38,"n","y","n","n","n",06/27/09 10:05 PM,82,2956.54,91.25,0.09,3036,0.47,0.38
"603f11575493fd2df5d15faa9c96cec8","going to kyoto on thursday~",2.38,3.25,3.38,3.25,3.38,"n","y","n","n","n",07/08/09 06:24 AM,82,2956.54,91.25,0.09,3036,0.47,0.38
"603f11575493fd2df5d15faa9c96cec8","Staying in Shinjuku, Tokyo until Wednesday",2.38,3.25,3.38,3.25,3.38,"n","y","n","n","n",07/24/09 04:31 PM,82,2956.54,91.25,0.09,3036,0.47,0.38
