"#AUTHID","STATUS","sEXT","sNEU","sAGR","sCON","sOPN","cEXT","cNEU","cAGR","cCON","cOPN","DATE","NETWORKSIZE","BETWEENNESS","NBETWEENNESS","DENSITY","BROKERAGE","NBROKERAGE","TRANSITIVITY"
"57c2d8496ceb8e92022bcac20cca27e1","seems to have acquired a mad swank bike.",3.55,1.40,4.45,4.15,4.80,"n","n","y","y","y",10/28/09 02:57 AM,77,2830.5,99.32,0.03,2837,0.5,0.01
"57c2d8496ceb8e92022bcac20cca27e1","off for the weekend!",3.55,1.40,4.45,4.15,4.80,"n","n","y","y","y",10/03/09 12:26 AM,77,2830.5,99.32,0.03,2837,0.5,0.01
"57c2d8496ceb8e92022bcac20cca27e1","can't decide if she's using laundry to avoid doing homework or homework to avoid doing laundry.",3.55,1.40,4.45,4.15,4.80,"n","n","y","y","y",11/13/09 04:04 AM,77,2830.5,99.32,0.03,2837,0.5,0.01
"57c2d8496ceb8e92022bcac20cca27e1","Welcome to Portland!",3.55,1.40,4.45,4.15,4.80,"n","n","y","y","y",11/06/09 03:43 PM,77,2830.5,99.32,0.03,2837,0.5,0.01
"57c2d8496ceb8e92022bcac20cca27e1","Happy Fall Equinox!",3.55,1.40,4.45,4.15,4.80,"n","n","y","y","y",09/21/09 04:30 AM,77,2830.5,99.32,0.03,2837,0.5,0.01
"57c2d8496ceb8e92022bcac20cca27e1","unfortunately, folk songs in the autumn grass will always trump paper writing. Back to work for me!",3.55,1.40,4.45,4.15,4.80,"n","n","y","y","y",10/02/09 12:06 AM,77,2830.5,99.32,0.03,2837,0.5,0.01
"57c2d8496ceb8e92022bcac20cca27e1","is climbing a tree in search of a fish.",3.55,1.40,4.45,4.15,4.80,"n","n","y","y","y",10/08/09 02:08 AM,77,2830.5,99.32,0.03,2837,0.5,0.01
"57c2d8496ceb8e92022bcac20cca27e1","striding forth, undaunted, unafraid, toward the uttermost frontier of thought where wisdom lures me on. O pioneer!",3.55,1.40,4.45,4.15,4.80,"n","n","y","y","y",11/15/09 09:42 PM,77,2830.5,99.32,0.03,2837,0.5,0.01
"57c2d8496ceb8e92022bcac20cca27e1","had not realized the degree to which packing boxes is like putting together a puzzle in 3-D. Now it's much more fun!",3.55,1.40,4.45,4.15,4.80,"n","n","y","y","y",11/14/09 01:58 AM,77,2830.5,99.32,0.03,2837,0.5,0.01
"57c2d8496ceb8e92022bcac20cca27e1","owned her bio test, now off to read *PROPNAME* in a tree somewhere.",3.55,1.40,4.45,4.15,4.80,"n","n","y","y","y",10/06/09 08:36 PM,77,2830.5,99.32,0.03,2837,0.5,0.01
