"#AUTHID","STATUS","sEXT","sNEU","sAGR","sCON","sOPN","cEXT","cNEU","cAGR","cCON","cOPN","DATE","NETWORKSIZE","BETWEENNESS","NBETWEENNESS","DENSITY","BROKERAGE","NBROKERAGE","TRANSITIVITY"
"c3f4b3e345cb6b032db2e0459d179db3","meh. forgotten test in the morning.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",09/11/09 06:19 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","is Nancy Drew.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/01/09 04:39 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","got two pairs of cartilage piercings today =]",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/03/09 10:56 PM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","going to play some piano!",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",07/17/09 08:35 PM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","be excellent to each other!",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/05/09 01:12 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","10 hour workday? boo.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",08/14/09 12:08 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","has consumed so many cough drops as of late, i'm making a wrapper bracelet with those too.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",09/23/09 01:11 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","Ah, love at first sight. When you see someone so beautiful that you forget they aren't there just for you.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/02/09 03:33 PM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","found Mad World sheet music =]",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/05/09 03:04 PM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","some man sold his kidney for $20,000...sounds like a plan",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",08/19/09 04:01 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","laptop finally came, woop. its purple. its lovely.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",08/20/09 01:08 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","500 Days of Summer was very very good =D",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",08/15/09 04:36 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","Courage the Cowardly Dog is on!",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/06/09 08:18 PM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","one more class, dr's appointment (hearing has improved!), missing House because of the midterm tonight =[",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/05/09 06:23 PM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","watchin benny and joon =)",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",08/30/09 12:32 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","9am class for tomorrow is cancelled. Huzzah!",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/07/09 03:55 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","sent a postcard to postsecret yesterday =]",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/16/09 02:54 PM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","s ears are sore haha. worth it! Nothing on the tube.... will continue to study for tmrs psych midterm momentarily =\ meh.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/04/09 09:04 PM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","wants to be able to put the wild things commercials on her ipod to watch allthetime =]",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/11/09 12:40 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","is watching robot chicken. It's aliive!",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",09/01/09 04:01 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","and by that i mean that everyone should listen to Viva Discordia by That Handsome Devil. now.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",08/23/09 03:43 PM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","Criminal Minds!",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/15/09 01:00 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","feels she did poorly on her midterm; starts third psych class tmr; needs to create some ipod playlists; is preoccupied.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/06/09 01:42 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","gets to sleep in tomorrow! kinda disappointed that all my classes are canceled except one =\ wouldn't mind the whole day off.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",09/03/09 09:48 PM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","has a paper due tomorrow. will start in a bit, i think. would've helped to have read anything before this point. ah well!",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",09/17/09 01:28 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","is downloading wilco and watching third rock from the sun!",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/07/09 12:33 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","I've always known I'd be a bank robber. So judge all you want, ladies and gentlemen. Because you never did become an astronaut.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/15/09 03:52 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","crowd surfed at *PROPNAME* and *PROPNAME*! =D",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",09/14/09 02:41 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","We bet him five dollars that he would drown. A bittersweet victory.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/10/09 05:24 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","Overpopulation will only accelerate until we need walled cities to keep out the hungry, swarming, insane masses. And they will scrape and dig under the walls like bug eyed mole men. You say catastrophe. I say, fuck yes.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",09/27/09 12:15 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","Jai Guru Deva om... Nothing's gonna change my world.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/13/09 05:49 PM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","Err:520",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",09/15/09 12:38 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","is rocking the casbah.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/15/09 06:29 PM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","HOUSE!",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/13/09 12:00 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","is updating her facebook status.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",09/02/09 03:42 PM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","is off to brunch!",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/18/09 04:05 PM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","needs another project. needs more chain.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/18/09 09:15 PM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","loves you, yeah yeah yeah.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",09/05/09 03:27 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","....curse this internet and//or computer. whichever one is currently sucking and screwing up facebook. screwing up everything!",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",09/18/09 02:57 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","is looking into her personality type. has the same as luke skywalker, gandhi, and adam sandler, among others. is pleased.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",10/03/09 04:09 AM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","sabrina the teenage witch is on! i haven't seen it in years! =D really takes me back...",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",09/17/09 06:39 PM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","You are beautiful, sir. But I hope you're interesting, too. Do you read? Do you think about what you read? I specifically told the agency I wanted someone who thinks about what he reads.",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",09/23/09 08:44 PM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","might as well be walkin on the sun",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",09/09/09 09:39 PM,285,39451.6,98.17,0.02,39856,0.5,0.04
"c3f4b3e345cb6b032db2e0459d179db3","""the verdict falls like bachelors for bad-luck girls""",2.45,4.00,3.80,2.80,4.25,"n","y","y","n","y",09/14/09 09:42 PM,285,39451.6,98.17,0.02,39856,0.5,0.04
