,word_vector,class_o,class_c,class_e,class_a,class_n
0,"[0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 0, 1, 3, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 2, 1, 2, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 2, 0, 1, 2, 2, 3, 1, 1, 0, 1, 0, 0, 3, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 1, 0, 0, 3, 0, 0, 5, 1, 0, 2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 0, 3, 1, 1, 1, 0, 0, 2, 2, 0, 1, 0, 1, 3, 0, 0, 1, 0, 0, 2, 1, 5, 0, 0, 2, 1, 3, 4, 3, 1, 1, 4, 2, 4, 2, 4, 2, 0, 5, 4, 1, 7, 7, 7, 1, 7, 4]",1,0,0,1,1
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 2, 0]",0,1,0,0,0
2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 0, 1, 0, 0, 1, 3, 0, 1, 2, 0, 3, 0, 1, 1, 1, 0, 0, 2, 1, 2, 0, 2, 0, 0, 1, 0, 0, 0, 2, 0, 0]",1,0,0,0,0
3,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 3, 0, 0, 0, 3, 0, 1, 0, 0, 0, 1, 2, 0, 0, 2, 0, 0, 2, 1, 0, 2, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 4, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 3, 0, 0, 1, 1, 3, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 1, 0, 2, 1, 1, 0, 2, 2, 2, 0, 1, 4, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 1, 0, 2, 0, 2, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 2, 1, 0, 1, 2, 0, 2, 1, 1, 3, 0, 2, 1, 7, 2, 1, 2, 2, 2, 0, 0, 1, 1, 1, 0, 2, 0, 2, 3, 3, 1, 2, 2, 0, 2, 2, 3, 4, 1, 1, 4, 3, 4, 1, 2, 6, 3, 2, 1, 3, 3, 8, 8, 5, 9, 13, 41]",1,1,1,1,0
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 3, 1, 1, 2, 0, 0, 5, 0, 2, 0, 0, 0, 4, 0, 1, 2, 3, 3, 1, 3, 4, 0, 2, 2, 1, 3, 0, 0, 0, 0, 2, 1, 2, 0, 0, 0, 1, 0, 1, 3, 0, 1, 3, 2, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 3, 0, 0, 4, 3, 3, 1, 1, 1, 2, 0, 0, 1, 0, 2, 2, 2, 2, 0, 1, 1, 2, 0, 0, 0, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 3, 2, 2, 2, 2, 2, 2, 2, 0, 2, 4, 0, 5, 0, 4, 3, 2, 2, 6, 3, 0, 2, 1, 2, 2, 0, 2, 4, 1, 2, 3, 3, 0, 0, 4, 0, 3, 1, 2, 0, 0, 2, 2, 4, 2, 4, 1, 3, 1, 1, 3, 0, 0, 1, 8, 0, 1, 3, 4, 1, 6, 1, 1, 1, 1, 5, 4, 2, 4, 3, 0, 8, 1, 8, 3, 8, 6, 11, 2, 5, 5, 7, 2, 8, 4, 4, 13, 13, 22, 6, 18, 16]",1,0,0,1,1
5,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 3, 1, 0, 1, 2, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 0, 3, 2, 0, 0, 0, 0, 4, 1, 0, 2, 0, 0, 0, 0, 4, 0, 0, 1, 0, 1, 2, 1, 4, 0, 2, 0, 0, 0, 1, 0, 3, 3, 0, 4, 0, 0, 1, 0, 0, 0, 1, 4, 4, 1, 1, 2, 3, 0, 1, 7, 3, 4, 0, 2, 2, 0, 7, 1, 0, 7, 4, 4, 11, 12, 4, 4, 5, 3]",1,1,0,0,0
6,"[1, 1, 0, 0, 2, 0, 1, 1, 0, 3, 2, 0, 0, 4, 0, 2, 0, 0, 0, 3, 1, 0, 0, 1, 1, 1, 1, 0, 2, 1, 2, 2, 1, 1, 0, 0, 0, 2, 0, 4, 0, 1, 0, 2, 4, 2, 2, 0, 1, 2, 2, 0, 1, 2, 2, 2, 0, 0, 2, 0, 3, 1, 2, 1, 4, 1, 1, 0, 1, 2, 0, 1, 1, 4, 0, 2, 1, 3, 0, 2, 1, 0, 2, 1, 0, 0, 0, 0, 2, 1, 3, 1, 1, 0, 0, 0, 2, 0, 0, 1, 2, 0, 2, 0, 3, 2, 3, 2, 1, 1, 2, 1, 1, 0, 1, 3, 0, 0, 2, 0, 2, 1, 2, 2, 1, 0, 6, 2, 2, 4, 1, 0, 0, 2, 0, 1, 1, 4, 0, 4, 1, 3, 5, 1, 1, 4, 1, 0, 0, 4, 5, 3, 1, 6, 4, 0, 2, 2, 1, 2, 2, 1, 1, 1, 1, 3, 0, 8, 5, 1, 2, 6, 0, 3, 2, 5, 5, 8, 0, 4, 3, 5, 1, 1, 9, 3, 13, 6, 5, 5, 7, 11, 5, 14, 4, 4, 14, 6, 24, 29]",1,0,1,1,0
7,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 2, 0, 3, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 1, 3, 3]",1,0,0,1,1
8,"[0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 1, 2, 2, 2, 0, 0, 4, 2, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 3, 0, 1, 0, 2, 1, 3, 1, 0, 6, 1, 3, 2, 0, 0, 0, 2, 2, 2, 2, 0, 3, 2, 1, 1, 2, 2, 2, 1, 0, 0, 3, 5, 4, 1, 5, 5, 5, 5, 1, 1, 2, 6]",0,0,0,1,0
9,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",1,0,1,0,0
